What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
35-39,Male,Spain,Master’s degree,Data Analyst,Mid-Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",$100-$999,Cloud-based data software & APIs,1-2 years,Python,Never,< 1 years
18-21,Male,United States of America,Bachelor’s degree,Data Analyst,Medium,20+,We use ML methods for generating insights (but do not put working models into production),$0-999,"> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,1-2 years
50-54,Male,United States of America,Bachelor’s degree,Software Engineer,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","$1000-$9,999",Local development environments,1-2 years,R,Never,1-2 years
35-39,Male,India,Master’s degree,Data Scientist,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Cloud-based data software & APIs,5-10 years,Python,Never,4-5 years
22-24,Female,India,Master’s degree,Software Engineer,Mid-Large,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",$1-$99,Local development environments,1-2 years,Python,Never,< 1 years
30-34,Male,Spain,Doctoral degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999","$1000-$9,999",Local development environments,10-20 years,Python,Never,4-5 years
22-24,Male,Ukraine,Master’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,United States of America,Master’s degree,Data Analyst,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","> $100,000 ($USD)",Business intelligence software,3-5 years,Python,Never,1-2 years
30-34,Male,Colombia,Master’s degree,Data Analyst,Medium,15-19,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Local development environments,3-5 years,SQL,Never,< 1 years
30-34,Male,Germany,Doctoral degree,Data Scientist,Mid-Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$10,000-$99,999",Local development environments,3-5 years,R,Never,3-4 years
22-24,Male,United States of America,Bachelor’s degree,Data Analyst,Large,1-2,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Spain,Master’s degree,Data Scientist,Medium,3-4,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","$1000-$9,999",Other,5-10 years,Python,Never,2-3 years
22-24,Male,India,Master’s degree,Software Engineer,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Belgium,Master’s degree,Data Scientist,Mid-Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",$100-$999,Local development environments,5-10 years,Python,Used TPU,4-5 years
50-54,Male,United States of America,Bachelor’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,"$1000-$9,999",Local development environments,20+ years,Python,Used TPU,20+ years
40-44,Male,Chile,Master’s degree,Data Scientist,Small,0,We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",$100-$999,Other,1-2 years,Python,Never,1-2 years
40-44,Male,Canada,Doctoral degree,Research Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,2-3 years
25-29,Male,Other,Master’s degree,Data Scientist,Mid-Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,3-4 years
50-54,Male,Mexico,Master’s degree,Product/Project Manager,Mid-Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$1-$99,Cloud-based data software & APIs,5-10 years,R,Never,3-4 years
45-49,Male,Spain,Master’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,"$1000-$9,999",Local development environments,5-10 years,Python,Used TPU,1-2 years
35-39,Male,India,Doctoral degree,Research Scientist,Enterprise,15-19,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",$100-$999,Local development environments,5-10 years,Python,Used TPU,5-10 years
40-44,Male,Russia,Doctoral degree,Research Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",$100-$999,Local development environments,3-5 years,Python,Never,3-4 years
35-39,Male,Portugal,Master’s degree,Business Analyst,Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$0 (USD),Local development environments,3-5 years,R,Never,3-4 years
35-39,Male,Germany,Master’s degree,Research Scientist,Medium,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Other,10-20 years,Python,Never,4-5 years
40-44,Male,Russia,No formal education past high school,Data Scientist,Medium,5-9,No (we do not use ML methods),"1,000-1,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
55-59,Male,United States of America,Doctoral degree,Data Scientist,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$0 (USD),Advanced statistical software,20+ years,Python,Never,20+ years
30-34,Female,Canada,Master’s degree,Data Scientist,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Local development environments,5-10 years,Python,Never,< 1 years
30-34,Male,Nigeria,Professional degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"5,000-7,499","$1000-$9,999",Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,Germany,Master’s degree,Data Engineer,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
40-44,Male,Poland,Master’s degree,Data Engineer,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,1-2 years
30-34,Male,Australia,Master’s degree,Data Scientist,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",$0 (USD),Local development environments,3-5 years,SQL,Never,1-2 years
40-44,Male,Brazil,Master’s degree,Business Analyst,Mid-Large,1-2,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
35-39,Male,United States of America,Master’s degree,Other,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","$1000-$9,999",Other,5-10 years,Python,Never,5-10 years
35-39,Male,United States of America,Master’s degree,Data Scientist,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",$100-$999,Advanced statistical software,5-10 years,Python,Never,2-3 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Large,20+,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$0 (USD),Business intelligence software,3-5 years,SQL,Never,3-4 years
30-34,Male,Switzerland,Doctoral degree,Data Scientist,Small,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,Bangladesh,Bachelor’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"3,000-3,999","$1000-$9,999",Local development environments,3-5 years,R,Never,2-3 years
25-29,Female,Turkey,Bachelor’s degree,Software Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Israel,Master’s degree,Research Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999",Local development environments,5-10 years,Python,Used TPU,5-10 years
30-34,Male,Brazil,Master’s degree,Data Scientist,Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999","> $100,000 ($USD)",Cloud-based data software & APIs,1-2 years,Python,Used TPU,2-3 years
70+,Female,Other,Doctoral degree,Research Scientist,Large,10-14,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",$1-$99,Other,20+ years,Python,Never,10-15 years
35-39,Male,Australia,Master’s degree,Data Analyst,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",$100-$999,Business intelligence software,< 1 years,Python,Never,< 1 years
35-39,Male,Israel,Doctoral degree,Data Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","> $100,000 ($USD)",Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
35-39,Male,Ukraine,Master’s degree,Other,Small,0,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
60-69,Male,Sweden,Professional degree,Other,Medium,0,No (we do not use ML methods),"200,000-249,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,Brazil,Master’s degree,Data Scientist,Small,5-9,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$1-$99,Local development environments,5-10 years,Python,Never,4-5 years
40-44,Male,United States of America,Master’s degree,Data Scientist,Medium,3-4,We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",$0 (USD),Local development environments,5-10 years,Python,Never,3-4 years
25-29,Male,France,Master’s degree,Data Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999",$100-$999,Local development environments,5-10 years,Python,Never,5-10 years
25-29,Male,Austria,Master’s degree,Business Analyst,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$10,000-$99,999",Local development environments,3-5 years,Python,Used TPU,< 1 years
25-29,Male,Brazil,Bachelor’s degree,Data Scientist,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$100-$999,Local development environments,3-5 years,Python,Never,2-3 years
50-54,Male,Israel,Master’s degree,DBA/Database Engineer,Small,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","$1000-$9,999",Cloud-based data software & APIs,5-10 years,Python,Used TPU,1-2 years
50-54,Male,Portugal,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","$1000-$9,999",Business intelligence software,5-10 years,Python,Never,1-2 years
35-39,Female,India,Master’s degree,Business Analyst,Enterprise,20+,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$100-$999,Basic statistical software,3-5 years,Python,Never,2-3 years
25-29,Male,India,Master’s degree,Product/Project Manager,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999","$1000-$9,999",Other,< 1 years,Python,Never,< 1 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Large,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,2-3 years
35-39,Male,Netherlands,Master’s degree,Other,Large,15-19,I do not know,"60,000-69,999",$100-$999,Local development environments,3-5 years,Python,Never,2-3 years
45-49,Male,United States of America,Bachelor’s degree,Software Engineer,Large,0,No (we do not use ML methods),"150,000-199,999",$0 (USD),Local development environments,5-10 years,Python,Never,2-3 years
30-34,Female,Greece,Master’s degree,Software Engineer,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Never,2-3 years
30-34,Female,United States of America,Doctoral degree,Data Analyst,Medium,1-2,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",$100-$999,Advanced statistical software,3-5 years,Python,Never,1-2 years
30-34,Male,United States of America,Master’s degree,Data Engineer,Medium,10-14,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",$100-$999,Business intelligence software,3-5 years,Python,Never,2-3 years
25-29,Female,United States of America,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","$1000-$9,999",Advanced statistical software,3-5 years,SQL,Never,2-3 years
30-34,Male,France,Doctoral degree,Research Scientist,Mid-Large,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",$0 (USD),Local development environments,3-5 years,SQL,Never,2-3 years
30-34,Male,Israel,Bachelor’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,Brazil,Bachelor’s degree,Data Analyst,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",$0 (USD),Local development environments,< 1 years,SQL,Never,< 1 years
60-69,Male,Russia,Doctoral degree,Research Scientist,Large,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Basic statistical software,20+ years,Python,Never,4-5 years
22-24,Male,Brazil,Bachelor’s degree,Business Analyst,Enterprise,1-2,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,Colombia,Doctoral degree,Data Scientist,Small,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",$100-$999,Local development environments,10-20 years,Python,Never,3-4 years
45-49,Male,Japan,Some college/university study without earning a bachelor’s degree,Other,Enterprise,0,No (we do not use ML methods),"7,500-9,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,1-2 years
30-34,Male,Russia,Bachelor’s degree,Software Engineer,Small,0,No (we do not use ML methods),"1,000-1,999",$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
22-24,Male,India,Master’s degree,Business Analyst,Medium,5-9,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$100-$999,Basic statistical software,5-10 years,Other,Never,1-2 years
30-34,Male,South Africa,Doctoral degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,China,Doctoral degree,Data Analyst,Small,1-2,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",$1-$99,Business intelligence software,1-2 years,Python,Used TPU,3-4 years
22-24,Female,Other,Bachelor’s degree,Data Analyst,Medium,1-2,No (we do not use ML methods),"5,000-7,499",$100-$999,Local development environments,< 1 years,Python,Never,< 1 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Software Engineer,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,4-5 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Enterprise,0,We are exploring ML methods (and may one day put a model into production),"4,000-4,999",$0 (USD),Basic statistical software,< 1 years,Python,Used TPU,2-3 years
40-44,Male,United States of America,Master’s degree,Software Engineer,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","> $100,000 ($USD)",Local development environments,20+ years,Python,Never,4-5 years
40-44,Male,Japan,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,1-2 years
40-44,Male,Indonesia,Doctoral degree,Research Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",$0 (USD),Other,5-10 years,Python,Never,1-2 years
25-29,Male,Sweden,Master’s degree,Software Engineer,Large,10-14,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
22-24,Male,Poland,Bachelor’s degree,Data Analyst,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
18-21,Male,India,Bachelor’s degree,Data Analyst,Mid-Large,10-14,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$1-$99,Business intelligence software,3-5 years,Python,Never,1-2 years
30-34,Male,India,Master’s degree,Software Engineer,Large,15-19,We are exploring ML methods (and may one day put a model into production),"25,000-29,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,< 1 years
35-39,Male,Russia,Master’s degree,Business Analyst,Large,20+,I do not know,"7,500-9,999",$0 (USD),Basic statistical software,< 1 years,Python,Used TPU,< 1 years
40-44,Male,Argentina,Master’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999","$10,000-$99,999",Cloud-based data software & APIs,10-20 years,Python,Never,5-10 years
45-49,Male,Belarus,Master’s degree,Software Engineer,Large,0,No (we do not use ML methods),"30,000-39,999",$1-$99,Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,Brazil,Master’s degree,Software Engineer,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Local development environments,10-20 years,Python,Never,1-2 years
30-34,Male,Spain,Doctoral degree,Research Scientist,Medium,0,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$0 (USD),Local development environments,3-5 years,R,Never,< 1 years
22-24,Male,United States of America,Master’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",$1-$99,Other,1-2 years,Python,Used TPU,1-2 years
22-24,Male,Russia,Master’s degree,Research Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",$0 (USD),Local development environments,3-5 years,Other,Never,1-2 years
25-29,Female,United States of America,Bachelor’s degree,Data Scientist,Small,10-14,I do not know,"40,000-49,999","$10,000-$99,999",Local development environments,< 1 years,Python,Never,< 1 years
25-29,Female,United States of America,Master’s degree,Data Analyst,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
50-54,Male,United States of America,Bachelor’s degree,Software Engineer,Large,1-2,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",$0 (USD),Local development environments,10-20 years,Python,Never,1-2 years
30-34,Male,Chile,Master’s degree,Product/Project Manager,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","$1000-$9,999",Other,1-2 years,Python,Never,< 1 years
40-44,Male,South Africa,Master’s degree,Statistician,Mid-Large,5-9,We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",$1-$99,Local development environments,10-20 years,Python,Never,5-10 years
25-29,Male,Peru,Some college/university study without earning a bachelor’s degree,Data Scientist,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,$1-$99,Local development environments,3-5 years,R,Used TPU,4-5 years
22-24,Male,Pakistan,Bachelor’s degree,Software Engineer,Medium,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$0 (USD),Cloud-based data software & APIs,1-2 years,Python,Used TPU,1-2 years
25-29,Female,Ukraine,Master’s degree,Data Analyst,Medium,3-4,I do not know,"5,000-7,499",$0 (USD),Business intelligence software,< 1 years,R,Never,< 1 years
30-34,Male,United States of America,Master’s degree,Data Analyst,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"80,000-89,999","$10,000-$99,999",Business intelligence software,1-2 years,Python,Never,1-2 years
25-29,Female,Netherlands,Doctoral degree,Research Scientist,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999","$10,000-$99,999",Local development environments,5-10 years,Python,Never,3-4 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Data Engineer,Enterprise,20+,I do not know,"50,000-59,999",$1-$99,Local development environments,3-5 years,Python,Used TPU,2-3 years
30-34,Male,Brazil,Master’s degree,Business Analyst,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"30,000-39,999",$100-$999,Business intelligence software,1-2 years,Python,Used TPU,1-2 years
30-34,Female,New Zealand,Master’s degree,Data Scientist,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,China,I prefer not to answer,Other,Small,1-2,We are exploring ML methods (and may one day put a model into production),"10,000-14,999","$1000-$9,999",Other,5-10 years,Python,Never,1-2 years
18-21,Male,France,Bachelor’s degree,Data Scientist,Small,0,I do not know,$0-999,$0 (USD),Other,< 1 years,Python,Never,< 1 years
25-29,Male,Germany,Bachelor’s degree,Data Scientist,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,1-2 years,R,Never,< 1 years
22-24,Male,India,Master’s degree,Data Analyst,Small,10-14,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$100-$999,Other,1-2 years,Python,Used TPU,2-3 years
35-39,Male,India,Master’s degree,Business Analyst,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$100-$999,Basic statistical software,3-5 years,Python,Never,4-5 years
55-59,Male,Canada,Master’s degree,Product/Project Manager,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","> $100,000 ($USD)",Local development environments,5-10 years,Python,Never,3-4 years
35-39,Male,Sweden,Bachelor’s degree,Data Analyst,Large,1-2,No (we do not use ML methods),"40,000-49,999",$0 (USD),Local development environments,< 1 years,R,Never,< 1 years
30-34,Male,Other,Doctoral degree,Data Scientist,Enterprise,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","$1000-$9,999",Cloud-based data software & APIs,10-20 years,Python,Used TPU,2-3 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,3-4 years
30-34,Male,Denmark,Master’s degree,Data Scientist,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
30-34,Male,Mexico,Master’s degree,Data Analyst,Enterprise,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","$1000-$9,999",Local development environments,3-5 years,R,Never,2-3 years
25-29,Female,France,Doctoral degree,Data Scientist,Mid-Large,1-2,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",$1-$99,Local development environments,3-5 years,SQL,Never,2-3 years
60-69,Male,United States of America,Master’s degree,Other,Medium,3-4,We use ML methods for generating insights (but do not put working models into production),"300,000-500,000","$10,000-$99,999",Local development environments,5-10 years,Python,Never,5-10 years
30-34,Female,Germany,Bachelor’s degree,Data Analyst,Large,3-4,No (we do not use ML methods),"40,000-49,999",$0 (USD),Business intelligence software,1-2 years,SQL,Never,1-2 years
30-34,Male,Colombia,Bachelor’s degree,DBA/Database Engineer,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",$100-$999,Cloud-based data software & APIs,3-5 years,SQL,Never,2-3 years
25-29,Male,India,Bachelor’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"5,000-7,499",$100-$999,Local development environments,1-2 years,Python,Used TPU,1-2 years
25-29,Male,India,Master’s degree,Business Analyst,Medium,10-14,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$0 (USD),Local development environments,< 1 years,R,Never,1-2 years
45-49,Male,Pakistan,Doctoral degree,Research Scientist,Medium,5-9,No (we do not use ML methods),"10,000-14,999",$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
25-29,Male,Switzerland,Doctoral degree,Research Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Never,4-5 years
55-59,Male,Japan,Master’s degree,Software Engineer,Large,0,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$0 (USD),Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,United States of America,Doctoral degree,Research Scientist,Small,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",$100-$999,Local development environments,10-20 years,Python,Never,5-10 years
35-39,Male,Other,Bachelor’s degree,Data Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",$100-$999,Local development environments,10-20 years,Python,Used TPU,1-2 years
40-44,Male,Sweden,Doctoral degree,Research Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,10-20 years,Python,Used TPU,10-15 years
25-29,Male,United States of America,Bachelor’s degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
35-39,Male,United States of America,Doctoral degree,Data Engineer,Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999","> $100,000 ($USD)",Local development environments,5-10 years,Python,Used TPU,2-3 years
25-29,Male,India,Master’s degree,Software Engineer,Enterprise,3-4,No (we do not use ML methods),"2,000-2,999",$0 (USD),Basic statistical software,1-2 years,Python,Never,1-2 years
30-34,Female,United States of America,Bachelor’s degree,Other,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$10,000-$99,999",Other,1-2 years,Python,Never,< 1 years
45-49,Male,Singapore,Master’s degree,Data Scientist,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","> $100,000 ($USD)",Business intelligence software,3-5 years,Python,Never,2-3 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,Python,Used TPU,1-2 years
60-69,Male,Belgium,Master’s degree,Research Scientist,Large,1-2,No (we do not use ML methods),$0-999,$1-$99,Local development environments,10-20 years,Python,Used TPU,20+ years
25-29,Male,India,Master’s degree,Data Scientist,Mid-Large,5-9,We are exploring ML methods (and may one day put a model into production),"10,000-14,999","$1000-$9,999",Local development environments,3-5 years,Other,Used TPU,2-3 years
22-24,Male,India,Master’s degree,Software Engineer,Medium,0,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
35-39,Male,India,Master’s degree,Research Scientist,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"15,000-19,999","$10,000-$99,999",Advanced statistical software,5-10 years,Other,Never,5-10 years
25-29,Female,Canada,Some college/university study without earning a bachelor’s degree,Software Engineer,Medium,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","> $100,000 ($USD)",Cloud-based data software & APIs,1-2 years,Python,Used TPU,1-2 years
30-34,Male,Russia,Master’s degree,Software Engineer,Medium,0,No (we do not use ML methods),"15,000-19,999",$0 (USD),Local development environments,< 1 years,Other,Used TPU,< 1 years
30-34,Male,United States of America,Master’s degree,Data Scientist,Small,15-19,We are exploring ML methods (and may one day put a model into production),"100,000-124,999","$1000-$9,999",Cloud-based data software & APIs,3-5 years,Python,Never,3-4 years
50-54,Male,Israel,Professional degree,Data Scientist,Enterprise,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999","$10,000-$99,999",Local development environments,20+ years,Python,Never,10-15 years
60-69,Male,United States of America,Doctoral degree,Other,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999","$1000-$9,999",Local development environments,3-5 years,R,Used TPU,4-5 years
